date,close_t,close_t-1,close_t-2,close_t-3,anger_t-1,anger_t-2,anger_t-3,depression_t-1,depression_t-2,depression_t-3,anxiety_t-1,anxiety_t-2,anxiety_t-3,happy_t-1,happy_t-2,happy_t-3,calm_t-1,calm_t-2,calm_t-3,polarity_t-1,polarity_t-2,polarity_t-3
4/13/2009,8057.81,8083.38,7837.11,7789.56,0.017545455,0.017272727,0.017,0.052454545,0.051727273,0.051,0.230909091,0.232454545,0.234,0.018090909,0.017545455,0.017,0.070090909,0.070545455,0.071,0.083363636,0.083181818,0.083
4/14/2009,7920.18,8057.81,8083.38,7837.11,0.018636364,0.017545455,0.017272727,0.055363636,0.052454545,0.051727273,0.224727273,0.230909091,0.232454545,0.020272727,0.018090909,0.017545455,0.068272727,0.070090909,0.070545455,0.084090909,0.083363636,0.083181818
4/15/2009,8029.62,7920.18,8057.81,8083.38,0.018909091,0.018636364,0.017545455,0.056090909,0.055363636,0.052454545,0.223181818,0.224727273,0.230909091,0.020818182,0.020272727,0.018090909,0.067818182,0.068272727,0.070090909,0.084272727,0.084090909,0.083363636
4/16/2009,8125.43,8029.62,7920.18,8057.81,0.019181818,0.018909091,0.018636364,0.056818182,0.056090909,0.055363636,0.221636364,0.223181818,0.224727273,0.021363636,0.020818182,0.020272727,0.067363636,0.067818182,0.068272727,0.084454545,0.084272727,0.084090909
4/17/2009,8131.33,8125.43,8029.62,7920.18,0.019454545,0.019181818,0.018909091,0.057545455,0.056818182,0.056090909,0.220090909,0.221636364,0.223181818,0.021909091,0.021363636,0.020818182,0.066909091,0.067363636,0.067818182,0.084636364,0.084454545,0.084272727
4/20/2009,7841.73,8131.33,8125.43,8029.62,0.019727273,0.019454545,0.019181818,0.058272727,0.057545455,0.056818182,0.218545455,0.220090909,0.221636364,0.022454545,0.021909091,0.021363636,0.066454545,0.066909091,0.067363636,0.084818182,0.084636364,0.084454545
4/21/2009,7969.56,7841.73,8131.33,8125.43,0.014,0.019727273,0.019454545,0.048,0.058272727,0.057545455,0.269,0.218545455,0.220090909,0.015,0.022454545,0.021909091,0.074,0.066454545,0.066909091,0.1,0.084818182,0.084636364
4/22/2009,7886.57,7969.56,7841.73,8131.33,0.021,0.014,0.019727273,0.041,0.048,0.058272727,0.239,0.269,0.218545455,0.015,0.015,0.022454545,0.069,0.074,0.066454545,0.086,0.1,0.084818182
4/23/2009,7957.06,7886.57,7969.56,7841.73,0.020636364,0.021,0.014,0.042272727,0.041,0.048,0.240454545,0.239,0.269,0.015363636,0.015,0.015,0.069545455,0.069,0.074,0.086727273,0.086,0.1
4/24/2009,8076.29,7957.06,7886.57,7969.56,0.020272727,0.020636364,0.021,0.043545455,0.042272727,0.041,0.241909091,0.240454545,0.239,0.015727273,0.015363636,0.015,0.070090909,0.069545455,0.069,0.087454545,0.086727273,0.086
4/27/2009,8025,8076.29,7957.06,7886.57,0.019909091,0.020272727,0.020636364,0.044818182,0.043545455,0.042272727,0.243363636,0.241909091,0.240454545,0.016090909,0.015727273,0.015363636,0.070636364,0.070090909,0.069545455,0.088181818,0.087454545,0.086727273
4/28/2009,8016.95,8025,8076.29,7957.06,0.018818182,0.019909091,0.020272727,0.048636364,0.044818182,0.043545455,0.247727273,0.243363636,0.241909091,0.017181818,0.016090909,0.015727273,0.072272727,0.070636364,0.070090909,0.090363636,0.088181818,0.087454545
4/29/2009,8185.73,8016.95,8025,8076.29,0.018454545,0.018818182,0.019909091,0.049909091,0.048636364,0.044818182,0.249181818,0.247727273,0.243363636,0.017545455,0.017181818,0.016090909,0.072818182,0.072272727,0.070636364,0.091090909,0.090363636,0.088181818
4/30/2009,8168.12,8185.73,8016.95,8025,0.018090909,0.018454545,0.018818182,0.051181818,0.049909091,0.048636364,0.250636364,0.249181818,0.247727273,0.017909091,0.017545455,0.017181818,0.073363636,0.072818182,0.072272727,0.091818182,0.091090909,0.090363636
5/1/2009,8212.41,8168.12,8185.73,8016.95,0.017727273,0.018090909,0.018454545,0.052454545,0.051181818,0.049909091,0.252090909,0.250636364,0.249181818,0.018272727,0.017909091,0.017545455,0.073909091,0.073363636,0.072818182,0.092545455,0.091818182,0.091090909
5/4/2009,8426.74,8212.41,8168.12,8185.73,0.017363636,0.017727273,0.018090909,0.053727273,0.052454545,0.051181818,0.253545455,0.252090909,0.250636364,0.018636364,0.018272727,0.017909091,0.074454545,0.073909091,0.073363636,0.093272727,0.092545455,0.091818182
5/5/2009,8410.65,8426.74,8212.41,8168.12,0.022,0.017363636,0.017727273,0.056,0.053727273,0.052454545,0.241,0.253545455,0.252090909,0.017,0.018636364,0.018272727,0.073,0.074454545,0.073909091,0.087,0.093272727,0.092545455
5/6/2009,8512.28,8410.65,8426.74,8212.41,0.021833333,0.022,0.017363636,0.0575,0.056,0.053727273,0.249333333,0.241,0.253545455,0.016666667,0.017,0.018636364,0.071666667,0.073,0.074454545,0.087833333,0.087,0.093272727
5/7/2009,8409.85,8512.28,8410.65,8426.74,0.021666667,0.021833333,0.022,0.059,0.0575,0.056,0.257666667,0.249333333,0.241,0.016333333,0.016666667,0.017,0.070333333,0.071666667,0.073,0.088666667,0.087833333,0.087
5/8/2009,8574.65,8409.85,8512.28,8410.65,0.0215,0.021666667,0.021833333,0.0605,0.059,0.0575,0.266,0.257666667,0.249333333,0.016,0.016333333,0.016666667,0.069,0.070333333,0.071666667,0.0895,0.088666667,0.087833333
5/11/2009,8418.77,8574.65,8409.85,8512.28,0.021333333,0.0215,0.021666667,0.062,0.0605,0.059,0.274333333,0.266,0.257666667,0.015666667,0.016,0.016333333,0.067666667,0.069,0.070333333,0.090333333,0.0895,0.088666667
5/12/2009,8469.11,8418.77,8574.65,8409.85,0.014,0.021333333,0.0215,0.069,0.062,0.0605,0.273,0.274333333,0.266,0.014,0.015666667,0.016,0.059,0.067666667,0.069,0.093,0.090333333,0.0895
5/13/2009,8284.89,8469.11,8418.77,8574.65,0.021,0.014,0.021333333,0.064,0.069,0.062,0.243,0.273,0.274333333,0.014,0.014,0.015666667,0.071,0.059,0.067666667,0.089,0.093,0.090333333
5/14/2009,8331.32,8284.89,8469.11,8418.77,0.018,0.021,0.014,0.061,0.064,0.069,0.239,0.243,0.273,0.0155,0.014,0.014,0.0745,0.071,0.059,0.085,0.089,0.093
5/15/2009,8268.64,8331.32,8284.89,8469.11,0.015,0.018,0.021,0.058,0.061,0.064,0.235,0.239,0.243,0.017,0.0155,0.014,0.078,0.0745,0.071,0.081,0.085,0.089
5/18/2009,8504.08,8268.64,8331.32,8284.89,0.016333333,0.015,0.018,0.056333333,0.058,0.061,0.243333333,0.235,0.239,0.017666667,0.017,0.0155,0.077,0.078,0.0745,0.085333333,0.081,0.085
5/19/2009,8474.85,8504.08,8268.64,8331.32,0.02,0.016333333,0.015,0.049,0.056333333,0.058,0.258,0.243333333,0.235,0.022,0.017666667,0.017,0.079,0.077,0.078,0.093,0.085333333,0.081
5/20/2009,8422.04,8474.85,8504.08,8268.64,0.01925,0.02,0.016333333,0.05,0.049,0.056333333,0.25925,0.258,0.243333333,0.021,0.022,0.017666667,0.0795,0.079,0.077,0.0945,0.093,0.085333333
5/21/2009,8292.13,8422.04,8474.85,8504.08,0.0185,0.01925,0.02,0.051,0.05,0.049,0.2605,0.25925,0.258,0.02,0.021,0.022,0.08,0.0795,0.079,0.096,0.0945,0.093
5/22/2009,8277.32,8292.13,8422.04,8474.85,0.01775,0.0185,0.01925,0.052,0.051,0.05,0.26175,0.2605,0.25925,0.019,0.02,0.021,0.0805,0.08,0.0795,0.0975,0.096,0.0945
5/26/2009,8473.49,8277.32,8292.13,8422.04,0.017,0.01775,0.0185,0.053,0.052,0.051,0.263,0.26175,0.2605,0.018,0.019,0.02,0.081,0.0805,0.08,0.099,0.0975,0.096
5/27/2009,8300.02,8473.49,8277.32,8292.13,0.033,0.017,0.01775,0.0655,0.053,0.052,0.292,0.263,0.26175,0.0115,0.018,0.019,0.08,0.081,0.0805,0.109,0.099,0.0975
5/28/2009,8403.8,8300.02,8473.49,8277.32,0.022,0.033,0.017,0.064,0.0655,0.053,0.259,0.292,0.263,0.023,0.0115,0.018,0.06,0.08,0.081,0.074,0.109,0.099
5/29/2009,8500.33,8403.8,8300.02,8473.49,0.0215,0.022,0.033,0.06,0.064,0.0655,0.2555,0.259,0.292,0.0215,0.023,0.0115,0.063,0.06,0.08,0.0845,0.074,0.109
6/1/2009,8721.44,8500.33,8403.8,8300.02,0.021,0.0215,0.022,0.056,0.06,0.064,0.252,0.2555,0.259,0.02,0.0215,0.023,0.066,0.063,0.06,0.095,0.0845,0.074
6/2/2009,8740.87,8721.44,8500.33,8403.8,0.022,0.021,0.0215,0.056,0.056,0.06,0.265,0.252,0.2555,0.021,0.02,0.0215,0.07,0.066,0.063,0.088,0.095,0.0845
6/3/2009,8675.24,8740.87,8721.44,8500.33,0.017,0.022,0.021,0.057,0.056,0.056,0.264,0.265,0.252,0.022,0.021,0.02,0.074,0.07,0.066,0.096,0.088,0.095
6/4/2009,8750.24,8675.24,8740.87,8721.44,0.02,0.017,0.022,0.055,0.057,0.056,0.245,0.264,0.265,0.022,0.022,0.021,0.07,0.074,0.07,0.08,0.096,0.088
6/5/2009,8763.13,8750.24,8675.24,8740.87,0.015,0.02,0.017,0.068,0.055,0.057,0.264,0.245,0.264,0.009,0.022,0.022,0.067,0.07,0.074,0.085,0.08,0.096
6/8/2009,8764.49,8763.13,8750.24,8675.24,0.024,0.015,0.02,0.06,0.068,0.055,0.25,0.264,0.245,0.019,0.009,0.022,0.062,0.067,0.07,0.077,0.085,0.08
6/9/2009,8763.06,8764.49,8763.13,8750.24,0.019,0.024,0.015,0.069,0.06,0.068,0.216,0.25,0.264,0.015,0.019,0.009,0.063,0.062,0.067,0.063,0.077,0.085
6/10/2009,8739.02,8763.06,8764.49,8763.13,0.015833333,0.019,0.024,0.066833333,0.069,0.06,0.241166667,0.216,0.25,0.018333333,0.015,0.019,0.063666667,0.063,0.062,0.077166667,0.063,0.077
6/11/2009,8770.92,8739.02,8763.06,8764.49,0.012666667,0.015833333,0.019,0.064666667,0.066833333,0.069,0.266333333,0.241166667,0.216,0.021666667,0.018333333,0.015,0.064333333,0.063666667,0.063,0.091333333,0.077166667,0.063
6/12/2009,8799.26,8770.92,8739.02,8763.06,0.0095,0.012666667,0.015833333,0.0625,0.064666667,0.066833333,0.2915,0.266333333,0.241166667,0.025,0.021666667,0.018333333,0.065,0.064333333,0.063666667,0.1055,0.091333333,0.077166667
6/15/2009,8612.13,8799.26,8770.92,8739.02,0.006333333,0.0095,0.012666667,0.060333333,0.0625,0.064666667,0.316666667,0.2915,0.266333333,0.028333333,0.025,0.021666667,0.065666667,0.065,0.064333333,0.119666667,0.1055,0.091333333
6/16/2009,8504.67,8612.13,8799.26,8770.92,0.019,0.006333333,0.0095,0.058,0.060333333,0.0625,0.244,0.316666667,0.2915,0.018,0.028333333,0.025,0.07,0.065666667,0.065,0.082,0.119666667,0.1055
6/17/2009,8497.18,8504.67,8612.13,8799.26,0.022,0.019,0.006333333,0.061,0.058,0.060333333,0.229,0.244,0.316666667,0.017,0.018,0.028333333,0.067,0.07,0.065666667,0.06,0.082,0.119666667
6/18/2009,8555.6,8497.18,8504.67,8612.13,0.029,0.022,0.019,0.089,0.061,0.058,0.169,0.229,0.244,0.013,0.017,0.018,0.056,0.067,0.07,-0.052,0.06,0.082
6/19/2009,8539.73,8555.6,8497.18,8504.67,0.028,0.029,0.022,0.092,0.089,0.061,0.158,0.169,0.229,0.015,0.013,0.017,0.059,0.056,0.067,-0.06,-0.052,0.06
6/22/2009,8339.01,8539.73,8555.6,8497.18,0.032,0.028,0.029,0.093,0.092,0.089,0.178,0.158,0.169,0.014,0.015,0.013,0.054,0.059,0.056,-0.048,-0.06,-0.052
6/23/2009,8322.91,8339.01,8539.73,8555.6,0.026,0.032,0.028,0.095,0.093,0.092,0.16,0.178,0.158,0.013,0.014,0.015,0.051,0.054,0.059,-0.032,-0.048,-0.06
6/24/2009,8299.86,8322.91,8339.01,8539.73,0.024,0.026,0.032,0.109,0.095,0.093,0.16,0.16,0.178,0.013,0.013,0.014,0.051,0.051,0.054,-0.069,-0.032,-0.048
6/25/2009,8472.4,8299.86,8322.91,8339.01,0.014,0.024,0.026,0.123,0.109,0.095,0.182,0.16,0.16,0.01,0.013,0.013,0.061,0.051,0.051,-0.066,-0.069,-0.032
6/26/2009,8438.39,8472.4,8299.91,8322.91,0.027,0.014,0.024,0.089,0.123,0.109,0.147,0.182,0.16,0.015,0.01,0.013,0.06,0.061,0.051,-0.053,-0.066,-0.069
